country_name;year;OECD;OECD_founder
Australia;2014;1;0
Austria;2014;1;1
Belgium;2014;1;1
Canada;2014;1;1
Chile;2014;1;0
Czech Republic;2014;1;0
Denmark;2014;1;1
Estonia;2014;1;0
Finland;2014;1;0
France;2014;1;1
Germany;2014;1;1
Greece;2014;1;1
Hungary;2014;1;0
Ireland;2014;1;1
Israel;2014;1;0
Italy;2014;1;1
Japan;2014;1;0
Lithuania;2014;1;0
Luxembourg;2014;1;1
Mexico;2014;1;0
Netherlands;2014;1;1
New Zealand;2014;1;0
Norway;2014;1;1
Poland;2014;1;0
Portugal;2014;1;1
Slovakia;2014;1;0
Slovenia;2014;1;0
South Korea;2014;1;0
Spain;2014;1;1
Sweden;2014;1;1
Switzerland;2014;1;1
Turkey;2014;1;1
United Kingdom;2014;1;1
United States of America;2014;1;1
