country;cultural_region;embeddedness;hierarchy;mastery;affective_autonomy;intellectual_autonomy;egalitarianism;harmony;pronoun_drop
Argentina;LA;3.625;1.799;3.72;3.426;4.551;5.098;4.266;1
Australia;ES;3.847;2.156;3.748;3.391;4.197;4.921;4.129;0
Austria;WE;3.186;1.661;3.721;3.889;4.965;5.059;4.622;0
Bolivia;LA;4.214;2.693;3.694;2.362;4.294;4.834;4.26;NA
Bulgaria;EE;3.8;2.318;3.774;3.113;4.263;5.037;4.04;1
Brazil;LA;4.026;2.589;3.838;3.035;4.269;4.249;4.251;1
Canada;ES;3.521;1.688;3.93;3.707;4.572;4.985;4.199;0
Chile;LA;3.902;2.103;3.54;2.465;4.384;5.109;4.493;1
China;FE;3.738;3.63;4.407;3.203;4.311;4.312;3.762;1
Cyprus;ME;4.194;1.982;3.658;2.661;3.833;5.061;4.323;NA
Czech Republic;EE;3.768;2.067;3.447;3.069;4.594;4.589;4.661;0
Denmark;WE;3.289;1.732;3.74;4.083;4.772;5.147;4.32;0
Estonia;EE;4.078;1.88;3.444;2.924;4.106;4.752;4.663;NA
Finland;WE;3.532;1.696;3.393;3.612;4.843;5.026;4.586;0
France;WE;3.097;1.976;3.574;4.31;5.367;5.183;4.495;0
Georgia;EE;4.245;2.462;3.624;3.255;3.863;4.742;4.094;NA
Germany;WE;3.183;1.905;3.752;3.751;4.919;5.14;4.706;0
Ghana;AF;4.3;2.651;4.149;2.163;3.941;4.854;3.433;0
Greece;WE;3.469;1.775;4.126;3.828;4.427;4.979;4.683;1
Hong Kong;FE;3.872;2.817;3.935;2.97;4.233;4.612;3.611;1
Hungary;EE;3.727;2.044;3.74;3.349;4.461;4.507;4.384;0
India;FE;3.913;3.371;4.162;3.541;4.019;4.494;3.979;1
Indonesia;FE;4.503;2.652;3.619;3.118;3.696;4.325;3.992;1
Ireland;ES;3.598;1.858;3.835;3.616;4.383;4.987;3.897;0
Israel;NC;3.823;2.467;3.867;3.512;4.416;4.857;3.352;1
Italy;WE;3.611;1.467;3.666;2.842;4.863;5.376;4.905;1
Japan;FE;3.547;2.582;3.973;3.393;4.731;4.466;4.302;1
Macedonia;EE;4.048;2.947;3.879;2.676;4.272;4.475;4.14;NA
Malaysia;FE;4.332;2.352;3.83;2.994;4.095;4.497;3.681;1
Mexico;LA;3.792;2.298;3.841;3.125;4.476;4.774;4.576;1
Namibia;AF;4.02;2.491;4.055;3.291;4.003;4.599;3.561;NA
Nepal;FE;4.276;3.159;4.119;2.89;3.905;4.703;4.156;NA
Netherlands;WE;3.355;1.997;3.801;3.651;4.776;5.083;4.192;0
New Zealand;ES;3.471;2.155;3.856;3.862;4.469;5.027;4.193;0
Norway;WE;3.55;1.411;3.619;3.291;4.667;5.285;4.635;0
Philippines;FE;4.071;2.57;3.727;2.898;3.983;4.603;4.084;1
Poland;EE;4.051;2.505;3.638;3.038;4.237;4.546;4.235;1
Portugal;WE;3.513;1.845;3.901;3.407;4.514;5.388;4.57;1
Russia;EE;4.043;2.499;3.657;2.946;4.242;4.641;4.254;1
Singapore;FE;4.213;2.728;3.619;2.947;3.782;4.691;3.979;1
Slovakia;EE;4.049;2.113;3.706;2.611;4.145;4.578;4.526;NA
Slovenia;EE;3.816;1.438;3.466;3.416;4.927;4.581;4.774;NA
Spain;WE;3.363;1.84;3.681;3.587;4.984;5.203;4.636;1
Sweden;WE;3.234;1.728;3.61;3.965;5.072;4.96;4.54;0
Switzerland;WE;3.043;2.085;3.74;4.132;5.42;4.979;4.526;0
Taiwan;FE;4.048;2.618;3.873;2.963;4.172;4.394;4.224;1
Turkey;ME;4.026;3.049;3.777;3.076;4.288;4.909;4.309;1
United Kingdom;ES;3.552;2.337;3.876;3.862;4.423;4.998;3.814;0
United States of America;ES;3.771;2.073;3.924;3.513;4.212;4.799;3.694;0
Venezuela;LA;3.943;2.095;3.859;3.086;4.359;4.734;4.026;1
Zimbabwe;AF;4.068;2.779;4.115;3.502;3.85;4.311;3.573;NA
